USDZAR,GBPZAR,EURZAR,GBPCNY,EURUSD,GBPUSD,NVDA.Close,AAPL.Close,AMZN.Close,DJT.Close,PDCO.Close,MLGO.Close
18.1758,22.508,19.7189,9.0114,1.0849,1.2403,49.47999954,189.7100067,142.8300018,16.68000031,32.15999985,754
18.1751,22.6671,19.7672,9.0183,1.0868,1.24725,48.88800049,188.0099945,143.1999969,15.92500019,31.80999947,796
18.7548,23.0356,20.0695,9.0336,1.0724,1.2282,49.65599823,187.4400024,145.8000031,15.625,32.02000046,770
18.6871,22.8683,19.9783,8.9333,1.067,1.22505,48.61999893,184.8000031,142.5899963,15.18000031,30.87000084,652
18.6541,22.8186,19.916,8.8915,1.0683,1.2208,48.33499908,186.3999939,143.5599976,15.14000034,30.5,658
18.6079,22.8385,19.9031,8.9492,1.0691,1.2261,46.95000076,182.4100037,140.6000061,15.13000011,30.05999947,514
18.4134,22.5933,19.6618,8.9515,1.0671,1.2267,46.57400131,182.8899994,142.0800018,15.38000011,30.27000046,656
18.3486,22.6155,19.6348,8.9566,1.0686,1.22895,45.95500183,181.8200073,142.7100067,15.44999981,30.29999924,684
18.1891,22.5454,19.5497,9.012,1.0741,1.24245,45.75099945,179.2299957,139.7400055,15.06999969,30.60000038,652
18.4397,22.4827,19.5977,9.0329,1.0702,1.2228,45.00500107,176.6499939,138.6000061,14.85000038,31.12999916,656
18.4389,22.4291,19.5397,8.9058,1.0661,1.22015,43.50600052,177.5700073,138.0700073,14.67000008,30.09000015,616
18.7316,22.7504,19.7768,8.8732,1.0537,1.21265,42.32500076,173.9700012,137,14.60000038,30.88999939,622.4000244
18.8016,22.8769,19.9936,8.878,1.0619,1.21775,40.77999878,170.7700043,133.0899963,14.92000008,30.45999908,656
18.8477,22.7963,19.8862,8.89,1.0605,1.21255,41.1609993,170.2899933,132.7100067,15.14000034,30.29000092,738.5999756
18.8845,22.8833,19.9402,8.8844,1.0541,1.21235,40.5,168.2200012,127.7399979,14.59000015,30.23999977,618
19.1819,23.1813,20.2273,8.8665,1.054,1.20765,40.32600021,166.8899994,119.5699997,14.47000027,30.18000031,616
19.0937,23.1874,20.225,8.8855,1.0576,1.2124,41.77899933,171.1000061,121.3899994,14.56999969,30.98999977,594
18.9863,23.2582,20.2261,8.9009,1.0632,1.2212,43.6629982,173.4400024,128.5599976,14.78999996,30.62000084,626
19.0807,23.2279,20.2265,8.9289,1.0597,1.2155,42.97499847,173,126.5599976,14.84000015,30.60000038,678
19.1057,23.16,20.2224,8.8883,1.0591,1.21235,41.38700104,172.8800049,125.1699982,15.06000042,30.20000076,688
19.1065,23.161,20.1364,8.881,1.0558,1.2123,42.10100174,175.4600067,128.3999939,14.97000027,30.34000015,754
18.7548,22.8527,19.8351,8.8866,1.0565,1.2181,42.19599915,175.8399963,128.1300049,15.05500031,30.93000031,676
18.7923,22.8692,19.8136,8.9075,1.0569,1.21595,43.93799973,177.1499939,131.4700012,15.27999973,30.78000069,678
18.9005,22.983,19.9079,8.9113,1.0538,1.21515,46.09500122,178.7200012,132.5500031,15.60999966,30.87000084,682
18.9642,23.1677,20.0225,8.8678,1.0524,1.2168,45.46099854,178.8500061,129.7899933,15.52000046,29.42000008,834
18.8253,23.1683,20.0019,8.9185,1.0619,1.22955,46.94499969,180.7100067,132.3300018,15.54500008,29.38999939,563.2000122
18.9271,23.2349,20.0646,8.9868,1.0604,1.22925,46.80599976,179.8000031,131.8300018,15.85999966,29.34000015,504
19.1573,23.4763,20.2952,8.9412,1.0582,1.2257,45.79800034,178.3899994,129.4799957,15.94999981,29.54999924,484
19.4202,23.6897,20.4825,8.8985,1.0563,1.22115,45.76200104,177.4900055,127.9599991,15.82999992,29.37999916,436
19.4553,23.5935,20.4573,8.878,1.0526,1.2137,44.68799973,174.9100037,125.9599991,15.82999992,29.12000084,390
19.325,23.3977,20.2594,8.8452,1.0497,1.2124,44.04100037,173.6600037,127,15.89999962,29.90999985,422
19.2227,23.2412,20.1569,8.8196,1.0469,1.20585,43.51699829,172.3999939,124.7200012,15.72000027,29.84000015,430
18.9655,23.1132,20.0285,8.8503,1.053,1.2156,44.7820015,173.75,129.4600067,15.43000031,29.80999947,540
18.784,23.0114,19.9242,8.9123,1.0594,1.22675,43.49900055,171.2100067,127.1200027,16.42000008,29.63999939,572
